status,model,cand_id,subject,b,test_path,sut_classes,maven_status,sut_invocation_jaccard,assert_semantic_jaccard,delta_sut_invocation_jaccard,delta_assert_semantic_jaccard,sut_call_count_llm,sut_call_count_human,sut_unique_count_llm,sut_unique_count_human,assert_tag_count_llm,assert_tag_count_human,delta_sut_call_count_llm,delta_sut_call_count_human,llm_added_count,human_added_count,parse_error
ok,deepseek-v4-pro,1,LANG-1034: Recursive and reflective EqualsBuilder (closes #202),0095d8adf26b9469115b1be0358cb09d1fcb5fd4,src/test/java/org/apache/commons/lang3/builder/EqualsBuilderTest.java,EqualsBuilder;EqualsBuilderTest,maven_pass,1.0,1.0,1.0,1.0,34,34,10,10,234,234,2,2,3,3,
ok,deepseek-v4-pro,2,"Removing isExactlyOneTrue, since there is no consensus about this method. See also LANG-922.",01d67b1bda06b33752fe3232594988561ff0c324,src/test/java/org/apache/commons/lang3/BooleanUtilsTest.java,BooleanUtils;BooleanUtilsTest,maven_pass,1.0,1.0,1.0,1.0,269,269,69,69,249,249,0,0,0,0,
ok,deepseek-v4-pro,3,"LANG-1119: Add StringUtils.rotate(String, int)",02a98515a337991f0ce05271ac90121fa204d9db,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,StringUtils;StringUtilsTest,maven_pass,1.0,1.0,1.0,1.0,977,977,175,175,1104,1104,11,11,1,1,
ok,deepseek-v4-pro,4,LANG-1149 Added alternative checked exception wrapping/unwrapping methods,03fe88ab71cf2eadaa39654786c3fba713742768,src/test/java/org/apache/commons/lang3/exception/ExceptionUtilsTest.java,ExceptionUtils;ExceptionUtilsTest,maven_pass,1.0,1.0,1.0,1.0,143,143,67,67,168,168,8,8,4,4,
ok,deepseek-v4-pro,5,clarify behavior of #isNumber() with blanks,05763470e5a067eb153533d47baa73174ad9bd46,src/test/java/org/apache/commons/lang3/math/NumberUtilsTest.java,NumberUtils;NumberUtilsTest,maven_pass,1.0,1.0,1.0,1.0,328,328,59,59,502,502,0,0,0,0,
ok,deepseek-v4-pro,6,"incorporated feedback from Fabian, formatting adjusted, count >> 1 replaced with count / 2",061450a927ba1cc65f7b984f4ff41866ec2eceac,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,ThreadUtils;ThreadUtilsTest,maven_pass,1.0,1.0,1.0,1.0,46,46,21,21,40,40,6,6,0,0,
ok,deepseek-v4-pro,7,tabs replaced by spaces new tests added,06506aecf9e46441d08edab311e19e599d273fab,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,ArrayUtils;ArrayUtilsTest,maven_pass,1.0,1.0,1.0,1.0,1211,1211,143,143,1534,1534,4,4,1,1,
ok,deepseek-v4-pro,8,LANG-1475 Fix unwrap StringIndexOutOfBoundsException,06aea7e74cfe4a1578cb76672f1562132090c205,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,StringUtils;StringUtilsTest,maven_pass,1.0,1.0,1.0,1.0,1308,1308,211,211,1451,1451,30,30,0,0,
ok,deepseek-v4-pro,9,[LANG-1784] Add Failable methods for null-safe mapping and chaining #1435,07914b39281e4be500d430b2c25e85499748788f,src/test/java/org/apache/commons/lang3/function/FailableTest.java,Failable;FailableTest,maven_pass,0.6875,0.9034,0.0476,0.1356,88,128,29,47,477,528,2,42,0,3,
ok,deepseek-v4-pro,10,[LANG-1426] Corrected usage examples in Javadocs (#458),089b43a0a6de2d6ae49840aec3805aee2c309001,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,StringUtils;StringUtilsTest,maven_pass,1.0,1.0,1.0,1.0,1320,1320,213,213,1466,1466,0,0,0,0,
ok,deepseek-v4-pro,11,"LANG-1408: add toDouble(BigDecimal), toDouble(BigDecimal, double)",08aa21f9217df0a28d48be5be5db03ddf4867140,src/test/java/org/apache/commons/lang3/math/NumberUtilsTest.java,NumberUtils;NumberUtilsTest,maven_pass,1.0,1.0,1.0,1.0,385,385,72,72,555,555,15,15,2,2,
ok,deepseek-v4-pro,12,Modify the error comment,0abcf0d32b22401e2c8e358317694d2ff044faed,src/test/java/org/apache/commons/lang3/RandomUtilsTest.java,RandomUtils;RandomUtilsTest,maven_pass,1.0,1.0,1.0,1.0,28,28,14,14,37,37,0,0,0,0,
ok,deepseek-v4-pro,13,LocaleUtils.parseLocale(String) operator precedence bug allows invalid language with numeric country (#1658),0b4a9d95df610bfcc83c375110ac100d08662ba1,src/test/java/org/apache/commons/lang3/LocaleUtilsTest.java,LocaleUtils;LocaleUtilsTest,maven_pass,1.0,1.0,1.0,1.0,64,64,12,12,47,47,2,2,2,2,
ok,deepseek-v4-pro,14,LANG-1352: EnumUtils.getEnumIgnoreCase and isValidEnumIgnoreCase methods added (closes #286),0b70b01a9f1d9664bb5eac737175f58f06979b60,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,EnumUtils;EnumUtilsTest,maven_pass,0.8601,0.8682,0.0,0.0,123,143,49,57,112,129,0,20,0,8,
ok,deepseek-v4-pro,15,"LANG-922 - Add isOneTrue(booleans...) to BooleanUtils to preserve old behavior of BooleanUtils.xor(booleans...). Added isOneTrue for primitives and wrappers, isOneFalse still missing.",0de9354f505f415c7ad35fe735cebab4900a698a,src/test/java/org/apache/commons/lang3/BooleanUtilsTest.java,BooleanUtils;BooleanUtilsTest,maven_pass,1.0,1.0,1.0,1.0,298,298,72,72,273,273,29,29,9,9,
ok,deepseek-v4-pro,16,LANG-1023 WordUtils.wrap: Customizable breakable characters (not just space/whitespace),0fe9685c8a78ba2d780a3ec1e1a323990dc6d218,src/test/java/org/apache/commons/lang3/text/WordUtilsTest.java,WordUtils;WordUtilsTest,maven_pass,1.0,1.0,1.0,1.0,207,207,25,25,212,212,5,5,1,1,
ok,deepseek-v4-pro,17,LANG-1276: StrBuilder#replaceAll ArrayIndexOutOfBoundsException (closes #200),10325422e5a4735aa87a4d47bdb377e09fe963d2,src/test/java/org/apache/commons/lang3/text/StrBuilderTest.java,StrBuilder;StrBuilderTest,maven_pass,1.0,1.0,1.0,1.0,0,0,0,0,665,665,0,0,0,0,
ok,deepseek-v4-pro,18,Using Validate where possible in builder package.,10641f9ae7d1d2f30aec5bc146a8d5b49c22d0a0,src/test/java/org/apache/commons/lang3/builder/HashCodeBuilderTest.java,HashCodeBuilder;HashCodeBuilderTest,maven_pass,1.0,1.0,1.0,1.0,22,22,10,10,108,108,0,0,2,2,
ok,deepseek-v4-pro,19,LANG-1100: Avoid memory allocation when using date formating to StringBuffer,10e18ae9b47dfe04573884739823d64825105694,src/test/java/org/apache/commons/lang3/time/FastDatePrinterTest.java,FastDatePrinter;FastDatePrinterTest,maven_pass,1.0,1.0,1.0,1.0,0,0,0,0,53,53,0,0,1,1,
ok,deepseek-v4-pro,20,Use final.,110ab39cb236fd7e6f517c8dc3b389fa215c0020,src/test/java/org/apache/commons/lang3/function/ObjectsTest.java,Objects;ObjectsTest,maven_pass,1.0,1.0,1.0,1.0,11,11,3,3,23,23,0,0,0,0,
